Number,Time,RFID,genotype,ContactTotalLen,ContactNb,Oral-oralContactTotalLen,Oral-oralContactNb,Oral-genitalContactTotalLen,Oral-genitalContactNb,SidebysideContactTotalLen,SidebysideContactNb,"SidebysideContact,oppositewayTotalLen","SidebysideContact,oppositewayNb",SocialapproachTotalLen,SocialapproachNb,GetawayTotalLen,GetawayNb,ApproachcontactTotalLen,ApproachcontactNb,ApproachrearTotalLen,ApproachrearNb,BreakcontactTotalLen,BreakcontactNb,FollowZoneIsolatedTotalLen,FollowZoneIsolatedNb,Train2TotalLen,Train2Nb,Group2TotalLen,Group2Nb,Group3TotalLen,Group3Nb,Group3breakTotalLen,Group3breakNb,Group3makeTotalLen,Group3makeNb,Group4breakTotalLen,Group4breakNb,Group4makeTotalLen,Group4makeNb,MoveisolatedTotalLen,MoveisolatedNb,MoveincontactTotalLen,MoveincontactNb,RearingTotalLen,RearingNb,RearisolatedTotalLen,RearisolatedNb,RearincontactTotalLen,RearincontactNb,StopisolatedTotalLen,StopisolatedNb,WallJumpTotalLen,WallJumpNb,WaterZoneTotalLen,WaterZoneNb,totalDistance,,,,
1,Day,22986511,HT,1.011223611,1.046004843,0.910049441,1.012853967,1.054204012,0.908386632,0.920872851,1.046293667,1.03487125,1.07524864,1.11457865,1.099614151,0.945387991,0.964470939,1.070082721,1.055857152,1.090831283,1.070160116,1.032532641,1.104666969,0.942640957,0.989869143,0.932926829,0.893617021,0.982449447,1.025510204,1.075129421,1.106569343,1.226173542,1.226173542,1.220125786,1.220125786,1.060606061,1.060606061,0.852631579,0.852631579,1.022689936,1.193113631,0.998182414,1.034785885,0.860121691,0.970067014,1.701421801,1.090487239,0.872325078,0.869089099,0.821348349,1.443555974,0.922257721,0.921985816,1,1,0.955742299,,,12.03522899,15.2345679
2,Day,6397,HT,1.080238205,0.912348668,1.156081838,1.020972262,1.05888413,0.909287452,1.060284845,0.955221055,0.971084664,1.07299681,1.070256045,1.040052171,0.926039606,0.942235469,1.100566789,1.091503695,1.248314967,1.190101892,1.199018971,1.03488899,0.918476934,0.880118193,0.890243902,0.808510638,1.024842087,0.953617811,1.228607474,1.141605839,1.095305832,1.095305832,1.091194969,1.091194969,0.727272727,0.727272727,0.715789474,0.715789474,0.651321003,0.614746631,1.188939543,1.140524928,0.636268866,1.044229337,0.996208531,0.955916473,1.224332772,1.201592832,0.400347423,0.551269991,0.697550586,0.70212766,2.582788123,1.049382716,0.65386327,,,,
1,Night,22986511,HT,1.324442038,1.4643699,1.342707424,0.995137763,0.913322458,0.832125984,0.915038619,0.991634981,0.448486374,0.76546091,0.793530603,0.6733516,1.066287109,0.920085929,1.159868788,1.122788762,2.454545455,3.615384615,1.39012926,1.429885057,0.561666667,0.569560048,0,0,1.38151946,1.487591241,0.947715109,1.040650407,0.681818182,0.681818182,0.571428571,0.571428571,0.315789474,0.315789474,0.346153846,0.346153846,1.536641041,1.657630312,1.362527716,1.386217154,1.196565974,0.985270049,2.413793103,2.074074074,1.935483871,1.75,1.415447646,2.409905773,0.772659733,0.76975945,0,0,1.043648782,,,,
2,Night,6397,HT,0.833485076,0.20344515,1.335895197,1.259859535,1.238499184,1.227086614,1.24064819,1.194676806,0.931462018,1.123687281,1.190528378,1.065469597,0.862274637,0.824704619,1.219409544,1.14516129,2.5,2.384615385,0.609283196,0.33256705,0.724583333,0.714625446,0,0,0.762867778,0.211678832,1.424454508,1.2899729,1.196969697,1.196969697,1.095238095,1.095238095,0.701754386,0.701754386,0.653846154,0.653846154,0.358880172,0.325361105,1.005912786,0.849776896,0.48345601,0.547735952,3.632183908,0.518518519,2.774193548,1.666666667,0.28908569,0.244174576,0.787518574,0.804123711,0.666666667,2,0.471352101,,,,
3,Day,22986416,HT,0.95188743,1.014426727,0.966538074,0.98825766,0.986343665,0.994631981,0.912532216,0.968145747,0.959947625,0.990291262,1.052473825,0.985750465,1.375085236,1.107294197,1.031053491,0.952695908,0.932368795,0.898583637,1.335671287,1.034955752,1.01055086,0.998335455,0.919315403,0.983050847,0.977051397,1.000797943,0.902365616,0.924819773,0.942384993,0.942384993,0.912280702,0.912280702,1.399267399,1.399267399,1.409090909,1.409090909,1.314103836,0.834985966,1.065338251,1.035672542,1.121446842,1.086340305,1.42416506,1.353878852,0.989604158,1.009785094,1.016160883,0.913770478,0.918639216,0.918833727,1.103962477,0.901618929,1.225367314,,,,
4,Day,22986492,HT,0.915982221,0.978170084,0.965951023,0.911764706,0.883901358,0.829049241,0.851852448,0.872024142,0.84854355,0.881955955,0.967039622,0.903090959,1.286914269,1.051330584,0.962539341,0.900324901,0.925715889,0.874320206,1.195062683,1.005309735,0.796968814,0.767257417,1.168704156,1.016949153,0.934876717,0.964624523,0.871020479,0.932715414,0.93881197,0.93881197,0.946305157,0.946305157,1.413919414,1.413919414,1.378787879,1.378787879,1.283612796,0.92906611,0.984114053,0.948150919,1.136242852,1.015858423,1.482832283,1.422954304,0.948363512,0.954366712,1.055444826,0.886339584,0.853902896,0.85369057,1.110024558,0.754669988,1.080901869,,,,
3,Night,22986416,HT,1.17932224,0.932709642,1.196832769,1.11977603,1.197966403,1.096783407,1.244681338,1.095406662,1.144413464,1.216610425,1.10673443,1.15165827,0.719581427,0.896231389,1.14339928,1.212344226,1.348486055,1.361173955,1.003310528,1.029423027,1.15246283,1.147096364,0.761735891,0.795035461,1.096232336,0.98858964,1.410537988,1.223959444,1.16669351,1.16669351,1.153111088,1.153111088,0.514366463,0.514366463,0.519144014,0.519144014,0.507412364,0.661682332,1.208131862,1.20289387,0.559976122,1.02792802,0.671828192,0.671782973,1.290995232,1.2590473,0.379316297,0.621962508,0.81689685,0.822461538,2.326784668,1.390518681,0.604923804,,,,
4,Night,22986492,HT,1.445925486,1.497050385,1.390036753,1.091441418,1.033285502,1.00371117,1.074175018,1.137164596,0.528536661,0.867912854,0.820577136,0.74560773,0.828561105,0.875163287,1.205009227,1.247092866,2.65151056,4.135080709,1.163227067,1.422332848,0.704753633,0.74233241,0,0,1.477755767,1.542145368,1.088051466,1.115721249,0.726256379,0.726256379,0.603852327,0.603852327,0.223343332,0.223343332,0.251056636,0.251056636,1.19712194,1.784189838,1.384522162,1.462021633,1.05308999,0.969889137,1.627826108,1.45758305,2.04086708,1.833676696,1.341091084,2.718941832,0.904856672,0.901684377,0,0,0.965535182,,,,
5,Day,22986409,HT,0.779601259,0.79869134,0.734995312,0.770371998,0.704993306,0.716892037,0.735224692,0.806622517,0.733344206,0.786833443,0.802058928,0.783259383,0.833706938,0.826048863,0.760354438,0.721112591,0.808554799,0.829530553,0.790288529,0.780060257,0.818446725,0.837905759,0.745644599,0.95,0.769801768,0.790971351,0.779913964,0.826979472,0.833880499,0.833880499,0.80997799,0.80997799,1.238095238,1.238095238,1.340659341,1.340659341,1.021983633,1.278591138,0.800451559,0.793338538,0.936713881,0.906332069,1.090548841,0.99744898,0.863322185,0.800697269,1.116406353,1.342167317,1.674112129,1.636811832,1.25136194,0.682983683,0.889629163,,,,
4,Day,22986492,HT,0.910284299,0.918106533,0.972847048,0.905104676,0.948619031,0.904807899,0.912840155,0.95205298,0.895199932,0.955102041,0.95712124,0.927411443,1.006904646,1.004179653,0.917536087,0.878902204,0.924965032,0.868345135,0.948627727,0.970145166,1.047003674,1.037068063,1.665505226,1.45,0.881837526,0.918105527,0.983477792,0.981427175,1.001969796,1.001969796,0.975788701,0.975788701,0.942857143,0.942857143,1.087912088,1.087912088,0.942967037,0.898652816,0.957304853,0.940202966,1.113185771,0.964692151,1.19714682,1.164285714,0.854403567,0.884756924,1.053686666,0.866926817,0.970069243,1.001917283,1.093771009,0.467365967,1.028763365,,,,
