Number,Time,genotype,RFID,ContactTotalLen,ContactNb,Oral-oralContactTotalLen,Oral-oralContactNb,Oral-genitalContactTotalLen,Oral-genitalContactNb,SidebysideContactTotalLen,SidebysideContactNb,"SidebysideContact,oppositewayTotalLen","SidebysideContact,oppositewayNb",SocialapproachTotalLen,SocialapproachNb,GetawayTotalLen,GetawayNb,ApproachcontactTotalLen,ApproachcontactNb,ApproachrearTotalLen,ApproachrearNb,BreakcontactTotalLen,BreakcontactNb,FollowZoneIsolatedTotalLen,FollowZoneIsolatedNb,Train2TotalLen,Train2Nb,Group2TotalLen,Group2Nb,Group3TotalLen,Group3Nb,Group3breakTotalLen,Group3breakNb,Group3makeTotalLen,Group3makeNb,Group4breakTotalLen,Group4breakNb,Group4makeTotalLen,Group4makeNb,MoveisolatedTotalLen,MoveisolatedNb,MoveincontactTotalLen,MoveincontactNb,RearingTotalLen,RearingNb,RearisolatedTotalLen,RearisolatedNb,RearincontactTotalLen,RearincontactNb,StopisolatedTotalLen,StopisolatedNb,WallJumpTotalLen,WallJumpNb,WaterZoneTotalLen,WaterZoneNb,totalDistance
1,Night,KO,6495,233157,5040,67169,9493,73446,10524,94683,9673,93727,10077,106210,41781,101771,37945,77197,29172,12882,4095,15817,1978,13523,7966,259,38,161120,5224,58964,2254,753,753,695,695,214,214,191,191,120346,39057,40417,9264,601853,15455,16399,8883,7029,2842,450899,22906,1482,654,10098,391,1836.243159
2,Night,KO,6494,196971,3956.5,53924,7519,58866,8310,74107.5,7727.5,74421,8105.5,95002,39397.5,90012,33096,64907,24443.5,8324,2744,13493,1729.5,11332,6736,209.5,28,131348.5,4089.5,52566.5,1772,615,615,558.5,558.5,141,141,132.5,132.5,115376,35087,31349,7216.5,582782,14860.5,18079.5,9107.5,4504,1742,560537,25608.5,2451,1028,45007,1187.5,1781.585014
3,Night,KO,6552,229397,3930,55723,6453,47926,6464,73722,6487,65820,6977,86602,37719,64350,24980,63959,28139,5767,2014,10203,1592,7637,4629,110,16,159360,4153,56997,1477,507,507,445,445,98,98,96,96,98763,34783,23750,5842,538223,7614,7419,2289,3509,1454,476958,23147,2713,1131,4824,359,1340.134807
4,Night,KO,6408,205006.5,4667.5,32312.5,5327.5,30553,5424.5,38021.5,5554.5,44073.5,5072,69956.5,24139.5,102105.5,27875,38638.5,11219.5,11756.5,3315,20060.5,2159.5,6754,3779.5,140.5,18,95894,3678,47854.5,1462.5,549.5,549.5,474.5,474.5,111.5,111.5,96.5,96.5,108706.5,20072.5,31124.5,6766.5,672807.5,10128,6218.5,1819.5,5909.5,2407.5,282863,12733.5,2190.5,896,13027,334.5,1827.476154
5,Night,KO,6409,197111,4453.666667,34713.66667,5967.333333,33482.66667,6014.666667,44012.33333,5545,44239,5397.333333,70119,26189.66667,80925.66667,27398.33333,43134,14600,10387.33333,3315.666667,14593,1760,6922.666667,3964,195.3333333,27.33333333,106123.3333,3919.666667,47606.33333,1521.666667,537,537,468,468,100.6666667,100.6666667,96.66666667,96.66666667,94438.66667,29183.33333,29497.33333,6818.333333,606817,9119.333333,7659.333333,2006,5728.666667,2222,360435.3333,19625,4493.333333,1821.666667,23323.66667,464.3333333,1482.294225
6,Night,KO,6416,232040.5,5394.5,48190,8712,47983,9287.5,57029,8568.5,76227.5,9965.5,108534.5,38524,144449.5,44297.5,79625,24539.5,21837.5,6785.5,22550.5,2377.5,18905.5,11359,348,46,144841.5,5755.5,74225,2518.5,928.5,928.5,796.5,796.5,163.5,163.5,152,152,163394,37631,49049.5,10952,759086,14123,12806.5,3639.5,13509.5,4879.5,552054,30855,4596,1915,33295,899.5,2471.309063
7,Night,KO,6511,121497,2160,33316,5240,35815,5042,43741,5526,49694,5730,50822,20234,41581,16179,41913,16143,5098,1838,7157,1219,3862,2345,153,21,69525,2211,37071,1137,431,431,388,388,105,105,81,81,52915,18989,16750,4120,351072,3257,1795,470,1814,873,321047,15345,866,390,11957,1234,866.4539905
8,Night,KO,6510,134366.5,2582,40550,4711,34605,4535.5,41228.5,4395,38910.5,4844,40466,17512.5,42638.5,16929.5,35956.5,15275,4940,1852.5,7203.5,1002,3010.5,1848.5,125,18,91915.5,2698.5,32583,1002,351,351,327.5,327.5,70,70,62,62,61259.5,25104.5,18878,4689.5,298229.5,4283,3504,926.5,2749,1211.5,369990.5,21932,671,300.5,17906.5,181.5,783.8435122
9,Night,KO,6492,223406.3333,5257,48299.33333,8370.333333,46393.66667,8493.666667,57738.66667,7829,70198.33333,8815.333333,99531.66667,35734,124112,40776,75221.33333,24157,18132.66667,5589.333333,18687.66667,2127.333333,15055.66667,8970.333333,333.3333333,40.66666667,145075.3333,5551.333333,67284.33333,2440,938,938,812,812,138.6666667,138.6666667,133.3333333,133.3333333,133276.6667,34696,44802,10168.33333,699882.3333,12346.33333,10930.66667,3073,11022.66667,3978.666667,524797.3333,26765.66667,4326.333333,1812,23771,642.6666667,1997.796272
10,Night,WT,6390,229912,4913,54108,9338,52657,9809,68947,7921,65342,7909,85597,33714,97886,35804,70583,26798,11396,3908,14219,1733,8520,5065,167,24,168639,5291,54079,2008,699,699,618,618,100,100,101,101,101333,30081,40381,9696,625699,8654,8646,2220,6870,2681,519037,23697,4646,1891,20198,539,1541.768748
11,Night,WT,6562,196754.75,3957.25,39513.25,6520.5,40420.75,7029.25,52755,6337,55232.25,6175,67799.5,26375.75,67837.25,24543.25,46669,16877.25,10601.75,3563.5,13211.25,1805.75,5500,3283.75,130,18.25,105894.25,3506,55780.25,1601,619.75,619.75,537.25,537.25,85,85,77.25,77.25,73782.75,21710.5,27769.75,6701.75,559647.5,7864,5316,1516.75,7324,2503.5,342767.25,14469,2323,980.5,12683,670.25,1341.169495
12,Night,WT,6387,193789.3333,3562,39171.66667,6012,38722.66667,6261.666667,52316.66667,6175,48309,5725.666667,63281.66667,24102.33333,53726.66667,20414.33333,40279.33333,14017,11183.66667,3878,11929.66667,1729.333333,5091,3035.666667,121.3333333,18,86187.33333,2998.333333,59457.33333,1506.666667,557.3333333,557.3333333,476.3333333,476.3333333,86.66666667,86.66666667,81,81,60606.33333,20839.33333,24241.66667,5820.666667,528349,8235.666667,5670.333333,2326,6573.666667,2229.333333,283671.6667,11618,1992.333333,830.3333333,6464.333333,355.6666667,1156.977516
13,Night,WT,6530,240482,4307,66301,9690,65252,10252,90441.5,8986.5,89978,9176.5,98517.5,39976,85926.5,34537.5,77434.5,29949,10658.5,3495,13343,1889,11319,6499.5,191.5,29,165609.5,4532,61826,1850,616.5,616.5,545.5,545.5,165.5,165.5,159.5,159.5,94709,31124.5,35841.5,8381.5,623119,8196,5731,2551.5,4398,2004,475668,19671,2179.5,920,9380.5,932,1556.317802
14,Night,WT,6396,252790,4207,73632,11038,71255,11021,102508,10652,87176,10008,103722,40842,98007,36549,81035,29978,15293,5056,14731,2024,12795,7201,329,46,164670,4534,75047,2349,747,747,667,667,205,205,202,202,103362,34111,43075,9690,622859,14284,18850,7372,8193,3656,504153,21531,1508,670,42750,6798,1650.717046
15,Night,WT,6394,211917,3874,60244,7811,45350,7467,66839,6838,52183,6578,80323,30938,92059,31127,68528,26224,7382,2489,11406,1549,9237,4761,283,39,151754,4174,47124,1461,459,459,396,396,83,83,72,72,115529,32499,32553,7454,597912,5498,3523,1230,3478,1509,432878,20213,1645,701,6725,402,1409.738319
1,Day,KO,6495,46213,1941,15702,1040,14174,1599,20488,2825,20369,2821,50012,31752,10921,6623,16708,9085,210,72,1763,575,3233,2207,10,2,30704,1845,15429,686,408,408,368,368,2,2,4,4,30957,16874,2818,972,305941,3607,4756,3308,74,41,557988,19224,338,153,105,3,751.5122344
2,Day,KO,6494,50050,934,14894,1488.5,17483,2300.5,21408.5,2608,25575.5,2532.5,31482.5,18416.5,11038,6337,15643.5,8099.5,221,84,1397,363.5,4037,2752.5,10.5,2,34631.5,975,14708,346,152,152,135,135,11.5,11.5,9.5,9.5,30402,11985.5,3498,1059,180157.5,2681.5,4279.5,2398.5,68,37,281271,8941,1099.5,459.5,112,4,627.7944464
3,Day,KO,6552,32133,574,8596,1039,12956,2068,18772,2173,15235,2051,15650,8658,8481,4837,9288,4247,224,66,957,195,3545,2387,5,1,22704,604,8088,281,112,112,105,105,10,10,7,7,36831,15182,2724,748,103738,1717,330,124,85,43,166042,13117,1349,556,244,13,489.6013872
4,Day,KO,6408,151779.5,2601,12675,1170.5,11133.5,1409.5,15977,1337,15523,1375,24108.5,11478,13209,5425.5,13218,5672.5,1474,518,9729,1254,1707.5,1072,23.5,3.5,33772.5,690,9799,325,131,131,119,119,8.5,8.5,6,6,22315.5,8406.5,4711,1195.5,403495,4304.5,940,263.5,832,344.5,166913,7275,1657,645,4221,88.5,1136.114216
5,Day,KO,6409,133927.5,2114,10200.5,1323,13165,1372,14031.5,1584.5,17028,1612.5,21870,10662.5,10760.5,5008,11978.5,5340,1212.5,463.5,6684,995.5,2065.5,1337,14.5,2.5,30965.5,658,9209.5,291,110.5,110.5,101.5,101.5,16,16,13.5,13.5,28707.5,14101,4464,1121.5,363510.5,4221.5,447.5,161,656,244.5,134641,10111,3729,1543,2459,46,914.5562303
6,Day,KO,6416,61353.5,945.5,17648.5,2358,19004,2421,25387.5,2424.5,24040.5,2488,35261.5,16043.5,22151,8952,19336.5,8170.5,2384,875,2667.5,401,3524.5,2215.5,26,4,40451.5,1030.5,18835.5,447,163.5,163.5,152.5,152.5,27,27,30,30,43191,17093,7748,2008,237292.5,2280.5,2109,621.5,1459.5,547.5,314091,16121,2261,909.5,8800.5,174.5,679.5081483
7,Day,KO,6511,53824,4038,7687,921,8398,1321,12084,1304,14252,1312,11947,5775,7866,4283,9370,4316,108,47,2366,933,1348,958,0,0,48434,4076,3453,192,45,45,36,36,9,9,9,9,58566,31674,3687,1398,171992,903,105,28,30,21,318538,35422,260,112,0,0,516.6841293
8,Day,KO,6510,36519,354,12759,1605.5,14624,2255,17545.5,1500.5,24157,1672,14633,7389,6204.5,3471.5,10159.5,4924.5,220.5,71,754,146.5,1232,853.5,5,1,30112,404,5191,188.5,57,57,51.5,51.5,10.5,10.5,10,10,20573.5,13287.5,2961.5,833.5,69561.5,357.5,87.5,5.5,62,30.5,243181.5,15569.5,190.5,84.5,254,4,268.4071166
9,Day,KO,6492,48038,810.6666667,11731.33333,1532,12345.33333,1830.333333,18191.33333,1903.333333,18888.33333,1875.666667,28175.66667,13285,14763,6580,15738,6463,2305,834.3333333,1864,301.6666667,2543,1674.333333,20.66666667,4,30755.33333,895.6666667,15290.33333,431,138,138,127,127,26,26,24.66666667,24.66666667,29328.33333,13047.33333,5728.333333,1492.333333,141394,1761.666667,1135.333333,343.6666667,1242,505.3333333,214801.3333,9998.666667,1042.333333,419.6666667,9836.333333,138.6666667,459.3018342
10,Day,WT,6390,44961,693,12880,1650,14270,1965,17738,1881,15726,1907,18052,7790,13849,5492,13299,5293,3415,1191,2340,328,2070,1199,55,8,32183,759,10934,404,99,99,91,91,27,27,23,23,13673,4110,6005,1431,117915,1854,1557,345,2076,806,124525,3571,368,164,41641,140,310.9247712
11,Day,WT,6562,85697,1697.333333,4758,1047,5287,1269.333333,7319,1257.666667,7465.666667,1337.666667,11113.66667,5799,6993,3260,6108.666667,2586,1286.666667,440.3333333,4447.666667,806,2278.333333,1569.333333,6.666666667,1,11586,511.6666667,5591.333333,186.6666667,57,57,51.33333333,51.33333333,24.33333333,24.33333333,22.66666667,22.66666667,20963,10159.66667,2869.333333,783.3333333,208527.6667,2492.666667,708.6666667,209.6666667,855.6666667,295,94319.66667,8370.333333,1642.333333,682.6666667,7918,53.66666667,659.8342591
12,Day,WT,6387,87688.66667,2009.333333,6080.666667,1134,10076.66667,1650.333333,10017.66667,1349.666667,18475.66667,1690.666667,12757,6913,6101.333333,3765,7620.666667,3492.666667,343.3333333,132.6666667,4303.666667,870,2873,2041.666667,34,6.333333333,14166.33333,744,7286.333333,136.6666667,65.33333333,65.33333333,62,62,22,22,21,21,28031.33333,14172,2194.666667,755,279756.3333,2246,258.6666667,92.66666667,136.3333333,72,131048.6667,11124.33333,905.3333333,382,809.6666667,31,795.4465315
13,Day,WT,6530,50980.5,1070,12638,1554,16434,1870.5,22640,2418,24741,2050,27636,15019.5,9103.5,4879,16010,7797,222,86,1693.5,487,1553.5,988.5,24.5,3.5,33793,1217.5,16477,446.5,146.5,146.5,131,131,12.5,12.5,11.5,11.5,43528,23773,3640,985.5,174034,1633.5,984.5,169,116.5,42,306778.5,17466,1380,605,300.5,15.5,463.8970893
14,Day,WT,6396,47847,2110,13591,1761,17554,2423,23202,2123,29518,2402,33621,19821,9995,5578,13615,7537,260,90,1710,576,2864,1902,33,5,33975,2336,13792,566,175,175,159,159,1,1,0,0,50740,32736,2788,878,232821,4798,3514,2320,132,74,573458,11484,234,104,101,6,713.8055768
15,Day,WT,6394,36763,506,10838,1412,13713,2829,16951,1692,18709,2430,14044,6895,11960,6534,10928,4862,226,64,1102,175,2350,1614,16,3,27176,571,8246,243,76,76,73,73,5,5,9,9,38371,20382,3763,926,207311,2743,685,658,126,58,310496,18763,509,218,231,32,760.187739
